Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean
Hubtic,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Freight Service, Logistics, Shipping,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"$1,300,000",Seed,2023-03-23,"$1,300,000",3.0,,"Digital forwarder, helping companies to deliver their goods easier, faster and smarter.",Freight Service,Hubtic Freight Service startup website,27.0,0.0,3000.0,500.0,1,$,1300000.0,$,1300000.0,1.09,historical,1.09,1417000.0,1417000.0,4,26,2,industrials
Unikraft,2021-01-01,"Heidelberg, Baden-Wurttemberg,",Heidelberg,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cloud Computing, Virtualization",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Pre-Seed,2023-03-23,,2.0,2.0,The lightweight virtualization company.,Cloud Computing,Unikraft Cloud Computing startup website,0.0,0.0,1000.0,500.0,1,,,,,1.09,historical,1.09,,,4,26,1,information_technology
florada,2021-03-10,"Hanover, Niedersachsen, Germany",Hanover,Niedersachsen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"E-Commerce, Information Technology,,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,1-10,2,"€685,000",Seed,2023-03-24,"€300,000",,,florada is a platform which digitalizes the floral industry by connecting consumers and florists.,E-Commerce,florada E-Commerce startup website,0.0,865.0,312.0,500.0,1,€,685000.0,€,300000.0,1.08,historical,1.08,685000.0,300000.0,3,24,2,consumer_discretionary
LI.FI,2021-08-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blockchain, Finance, Financial Services,,,",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,11-50,2,"$23,000,000",Series A,2023-03-30,"$17,500,000",33.0,23.0,LI.FI builds a multi-chain DeFi middleware for the application layer.,Blockchain,LI.FI Blockchain startup website,0.0,0.0,0.0,0.0,0,$,23000000.0,$,17500000.0,1.08,historical,1.08,24840000.0,18900000.0,3,19,3,web3_blockchain
Compounder,2020-07-01,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"EdTech, Education, Higher Education,,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2023-03-31,,3.0,,Compounder is a platform through which students can apply to their desired universities with just one profile.,EdTech,Compounder EdTech startup website,0.0,0.0,935.0,500.0,1,,,,,1.09,historical,1.09,,,4,32,1,consumer_discretionary
Fabrikatör - Virtual Head of Operations,2020-06-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, E-Commerce, Innovation Management,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,2,"€650,000",Pre-Seed,2023-04-04,"€600,000",9.0,,Equipping growing DTC brands with the modern retail and supply chain technology.,B2B,Fabrikatör - Virtual Head of Operations B2B startup website,0.0,116.0,1000.0,500.0,1,€,650000.0,€,600000.0,1.09,historical,1.09,650000.0,600000.0,4,34,1,industrials
LOCCO,2022-01-01,"München, Bayern, Germany",München,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Audio, Mobile Apps, Tourism",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"$100,000",Pre-Seed,2023-04-11,"$100,000",1.0,,LOCCO is a platform that uses location-based technology to provide drivers with audio content access.,Apps,LOCCO Apps startup website,0.0,2645.0,549.0,500.0,1,$,100000.0,$,100000.0,1.09,historical,1.09,109000.0,109000.0,3,15,1,information_technology
Carré Mobility,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ride Sharing, SaaS, Sharing Economy",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"$20,000",Pre-Seed,2023-04-11,"$20,000",1.0,,"Carré Mobility offers shared mobility solutions for the housing industry, saving space and costs.",Ride Sharing,Carré Mobility Ride Sharing startup website,0.0,365.0,905.0,500.0,1,$,20000.0,$,20000.0,1.09,historical,1.09,21800.0,21800.0,5,39,1,industrials
enverx,2022-04-14,"München, Bayern, Germany",München,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blockchain, Financial Services,,,,",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,11-50,1,"€1,000,000",Seed,2023-04-13,"€1,000,000",2.0,,"Multi-commodity financing, trading, and escrow management fintech solution, leveraging blockchain technology for trust & transparency.",Blockchain,enverx Blockchain startup website,0.0,0.0,5000.0,500.0,1,€,1000000.0,€,1000000.0,1.1,historical,1.1,1000000.0,1000000.0,2,11,2,web3_blockchain
AR Technology,2020-01-01,"Kühstein, Bayern, Germany",Kühstein,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Construction, Industrial Manufacturing,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Seed,2023-04-17,,2.0,,AR-Technology has set the goal of establishing augmented reality (AR) as an industry standard.,Construction,AR Technology Construction startup website,446.0,305.0,5000.0,500.0,1,,,,,1.1,historical,1.1,,,5,39,2,industrials
