Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean
Jina AI,2020-02-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Cloud Data Services,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,3,"$37,500,000",Series A,2021-11-22,"$30,000,000",5.0,24.0,Empowering businesses and developers to build neural search solutions in minutes at scale.,AI,Jina AI AI startup website,0.0,0.0,0.0,0.0,0,$,37500000.0,$,30000000.0,1.13,historical,1.13,42374999.99999999,33900000.0,4,21,3,information_technology
Collato,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, SaaS, Software",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€4,200,000",Seed,2021-11-24,"€4,200,000",4.0,2.0,"Collato, a smart notetaker for busy people.",B2B,Collato B2B startup website,1707.0,133.0,2000.0,500.0,1,€,4200000.0,€,4200000.0,1.12,historical,1.12,4200000.0,4200000.0,5,22,2,industrials
Abc Doc,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Information Technology, Legal Tech,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€500,000",Seed,2021-11-25,"€500,000",1.0,,"Abc Doc is a web-based service that recognizes bureaucratic letters, provides a summary, and suggests next steps.",Information Technology,Abc Doc Information Technology startup website,0.0,0.0,77.0,500.0,1,€,500000.0,€,500000.0,1.12,historical,1.12,500000.0,500000.0,5,22,2,information_technology
Token Fabrik,2020-01-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Blockchain, Cryptocurrency, FinTech,,",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,1-10,2,"$1,550,000",Series A,2021-11-26,"$1,500,000",2.0,,Tokenfabrik enables digital investments in industrial IoT assets with the power of DeFi.,Blockchain,Token Fabrik Blockchain startup website,0.0,669.0,3000.0,500.0,1,$,1550000.0,$,1500000.0,1.12,historical,1.12,1736000.0000000002,1680000.0000000002,5,22,3,web3_blockchain
Bringman,2020-01-01,"Offenburg, Baden-Wurttemberg,",Offenburg,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Delivery, Food Delivery,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,000,000",Seed,2021-11-29,"€1,000,000",1.0,,Bringman purchases goods in Edeka stores and delivers them to the doorstep.,Apps,Bringman Apps startup website,0.0,0.0,331.0,500.0,1,€,1000000.0,€,1000000.0,1.13,historical,1.13,1000000.0,1000000.0,5,22,2,information_technology
Kwest,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Software,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-11-29,,3.0,4.0,"Renewable energy installers use Kwest to create visibility across their projects, optimize day-to-day operations, and automate manual tasks.",Software,Kwest Software startup website,0.0,0.0,0.0,0.0,0,,,,,1.13,historical,1.13,,,4,10,1,information_technology
Thermosphr,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Commercial Real Estate, Energy Efficiency,,,,,,,",Real Estate,0,0,0,1,0,0,0,0,0,0,0,0,0,11-50,1,,Seed,2021-11-30,,4.0,1.0,Energy autopilot for commercial buildings,Commercial Real Estate,Thermosphr Commercial Real Estate startup website,1.0,0.0,6000.0,500.0,1,,,,,1.13,historical,1.13,,,5,22,2,real_estate
EasyQuant,2021-01-22,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"FinTech, Software, Trading Platform",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-12-01,,1.0,,The first broker that gives you feedback and recommendations,FinTech,EasyQuant FinTech startup website,0.0,0.0,130.0,225.0,0,,,,,1.13,historical,1.13,,,4,10,1,information_technology
Dance Masterclass,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"E-Learning, Education, Training",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-12-01,,1.0,,Dance Masterclass is an online dance training platform that allows anyone to learn from the dancers and choreographers in the world.,E-Learning,Dance Masterclass E-Learning startup website,0.0,0.0,0.0,0.0,0,,,,,1.13,historical,1.13,,,4,10,1,consumer_discretionary
Newsbriefs,2021-10-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Digital Media, Internet, News, Software",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,11-50,1,"€160,000",Pre-Seed,2021-12-01,"€160,000",,1.0,Newsbriefs is a mobile news app that offers relevant news in 70-word summaries.,Digital Media,Newsbriefs Digital Media startup website,0.0,0.0,7000.0,500.0,1,€,160000.0,€,160000.0,1.13,historical,1.13,160000.0,160000.0,3,2,1,communication_services
ramblr.ai,2021-01-01,"Pullach Im Isartal, Bayern, Germany",Pullach Im Isartal,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Augmented Reality,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Seed,2021-12-13,,2.0,1.0,Ramblr creates an AI-driven data pipeline to enable next-generation augmented reality.,AI,ramblr.ai AI startup website,0.0,0.0,818.0,500.0,1,,,,,1.13,historical,1.13,,,4,11,2,information_technology
up.lftd,2021-07-20,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Human Resources, SaaS, Software",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-12-13,,1.0,,"SaaS for feedback, performance management and people development",Human Resources,up.lftd Human Resources startup website,0.0,0.0,458.0,69.0,0,,,,,1.13,historical,1.13,,,3,4,1,industrials
Mitigant,2021-06-01,"Potsdam, Brandenburg, Germany",Potsdam,Brandenburg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Cloud Computing,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Seed,2021-12-14,,3.0,4.0,"Mitigant provides a Cloud-Native Security Platform that integrates Cloud Attack Emulation, Cloud & Kubernetes Security Posture Management.",AI,Mitigant AI startup website,77.0,0.0,2000.0,500.0,1,,,,,1.13,historical,1.13,,,3,6,2,information_technology
Xpoli,2020-01-01,"Nuremberg, Bayern, Germany",Nuremberg,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Sales,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,2,,Seed,2021-12-14,,2.0,,Xpoli ai based software company that uses sensor technology for passenger transport systems.,AI,Xpoli AI startup website,0.0,0.0,579.0,500.0,1,,,,,1.13,historical,1.13,,,5,23,2,information_technology
Perkio,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Software,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2021-12-17,,1.0,,Perkio is a platform that helps companies and employees create and improve wellbeing while keeping personal data anonymized.,Software,Perkio Software startup website,0.0,0.0,0.0,0.0,0,,,,,1.13,historical,1.13,,,4,11,1,information_technology
Fanblast,2021-01-02,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Content Creators, SaaS, Social CRM",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,400,000",Pre-Seed,2021-12-22,"€1,400,000",,,Fanblast is a SaaS for creators and brands to engage and monetize fans in the most authentic way.,Content Creators,Fanblast Content Creators startup website,13.0,0.0,775.0,500.0,1,€,1400000.0,€,1400000.0,1.13,historical,1.13,1400000.0,1400000.0,4,11,1,communication_services
Triviar,2020-05-07,"Oldenburg, Niedersachsen, Germany",Oldenburg,Niedersachsen,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Software,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€730,000",Seed,2021-12-23,"€730,000",1.0,,Our vision is to revolutionize the old model of the 'VHS' in Germany and build the largest platform in Europe for local courses & events.,Software,Triviar Software startup website,0.0,0.0,378.0,500.0,1,€,730000.0,€,730000.0,1.13,historical,1.13,730000.0,730000.0,4,19,2,information_technology
PULT,2021-03-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Enterprise Software, Human Resources,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Pre-Seed,2022-01-01,,,3.0,"PULT helps modern companies run their office management on autopilot - from desk booking, to room booking, and visitor management.",Enterprise Software,PULT Enterprise Software startup website,44.0,0.0,1000.0,500.0,1,,,,,1.14,historical,1.14,,,3,10,1,information_technology
Shiawa,2021-01-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Mobile Apps, Software",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-01-01,,1.0,,"SHIAWA GmbH offers web-based solutions for office management, including desk booking and meeting organization.",Apps,Shiawa Apps startup website,0.0,0.0,481.0,0.0,0,,,,,1.14,historical,1.14,,,4,11,1,information_technology
Deep LS,2021-11-26,"Limburg, Hessen, Germany",Limburg,Hessen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"AI, Bioinformatics,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-01-01,,,,"ML, AI, Drug Discovery",AI,Deep LS AI startup website,0.0,0.0,1000000.0,500.0,1,,,,,1.14,historical,1.14,,,3,1,1,information_technology
Phaina,2022-01-01,"Bielefeld, Nordrhein-Westfalen,",Bielefeld,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"AI, SaaS",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Seed,2022-01-01,,1.0,,"SaaS, Buying advice improvement, Expert knowledge and AI,",AI,Phaina AI startup website,0.0,0.0,726.0,500.0,1,,,,,1.14,historical,1.14,,,3,0,2,information_technology
basenode.io,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Accounting, Cryptocurrency",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,1-10,2,"€250,000",Pre-Seed,2022-01-10,"€250,000",1.0,1.0,"SaaS, WebApp, Crypto Payments, Accounting",Accounting,basenode.io Accounting startup website,325.0,0.0,0.0,0.0,0,€,250000.0,€,250000.0,1.14,historical,1.14,250000.0,250000.0,4,12,1,financials
drillstars,2021-02-04,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Information Technology,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,101-250,1,,Seed,2022-01-12,,,,drillstars is an AI-based sports coaching platform.,AI,drillstars AI startup website,0.0,711.0,21.0,500.0,1,,,,,1.14,historical,1.14,,,3,11,2,information_technology
Achiefy,2021-12-15,"Leipzig, Sachsen, Germany",Leipzig,Sachsen,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Blockchain, Cryptocurrency, Gamification,,,",Web3/Blockchain,0,0,0,0,0,0,1,0,0,0,0,0,0,11-50,1,,Seed,2022-01-15,,,,Achiefy is a blockchain platform intended to connect traditional gamers with cryptocurrency.,Blockchain,Achiefy Blockchain startup website,232.0,0.0,0.0,0.0,0,,,,,1.14,historical,1.14,,,3,1,2,web3_blockchain
score4more,2022-01-07,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, B2B,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€1,500,000",Pre-Seed,2022-01-16,"€1,500,000",,1.0,"Transformation Platform, Data Platform, Impact, Sustainability Profiles, Scoring, Benchmarking, Solutions, ESG Data",AI,score4more AI startup website,0.0,0.0,1000.0,500.0,1,€,1500000.0,€,1500000.0,1.14,historical,1.14,1500000.0,1500000.0,3,0,1,information_technology
dstack,2022-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Cloud Data Services,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-01-18,,1.0,3.0,dstack is an open-source tool that enables defining ML workflows as code.,AI,dstack AI startup website,803.0,0.0,0.0,0.0,0,,,,,1.14,historical,1.14,,,3,0,1,information_technology
Alaiko,2020-03-23,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E-Commerce, Logistics, Software",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,51-100,1,"$30,000,000",Series A,2022-01-18,"$30,000,000",3.0,4.0,Enabling e-commerce shops via a world class logistic-as-a-service platform.,E-Commerce,Alaiko E-Commerce startup website,0.0,225.0,4000.0,500.0,1,$,30000000.0,$,30000000.0,1.14,historical,1.14,34200000.0,34200000.0,4,21,3,consumer_discretionary
melon,2020-02-14,"München, Bayern, Germany",München,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Food and Beverage, Marketplace,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€1,000,000",Seed,2022-01-20,"€1,000,000",,,"melon is an online community marketplace for people to share, book and build genuine connections via plant-based food.",Apps,melon Apps startup website,445.0,0.0,2000.0,500.0,1,€,1000000.0,€,1000000.0,1.13,historical,1.13,1000000.0,1000000.0,4,23,2,information_technology
ecomi.io,2022-01-17,"Jena, Thuringen, Germany",Jena,Thuringen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Advertising, Information Technology,",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,1-10,1,"€200,000",Series A,2022-01-22,"€200,000",,,environmental protection by using marketing,Advertising,ecomi.io Advertising startup website,0.0,59.0,40.0,52.0,0,€,200000.0,€,200000.0,1.13,historical,1.13,200000.0,200000.0,3,0,3,communication_services
Tilores,2021-11-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Big Data, Cloud Data Services,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€1,200,000",Seed,2022-01-27,"€1,200,000",7.0,3.0,High-performance entity resolution as a service,Big Data,Tilores Big Data startup website,76.0,0.0,889.0,500.0,1,€,1200000.0,€,1200000.0,1.12,historical,1.12,1200000.0,1200000.0,3,2,2,information_technology
ModelMe,2021-07-16,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, B2B,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,2,,Pre-Seed,2022-01-30,,2.0,2.0,ModelMe is generative B2B software that digitises the creation of fashion visuals.,AI,ModelMe AI startup website,0.0,534.0,6000.0,500.0,1,,,,,1.12,historical,1.12,,,3,6,1,information_technology
Hotelbuuk Technologies,2022-01-04,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Food Delivery, Hospitality, Hotel,,,,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-02-01,,,,Book Hotels that offer market insights,Food Delivery,Hotelbuuk Technologies Food Delivery startup website,0.0,0.0,0.0,0.0,0,,,,,1.12,historical,1.12,,,3,0,1,consumer_discretionary
F&B Technologies GmbH,2021-05-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Coffee, Food and Beverage, Industrial Automation,",Consumer Staples,0,0,0,0,0,0,0,0,0,1,0,0,0,1-10,1,"€250,000",Pre-Seed,2022-02-01,"€250,000",,,the moc is an IoT enabled company that brings automated and data driven specialty coffee to the streets.,Coffee,F&B Technologies GmbH Coffee startup website,0.0,278.0,0.0,0.0,0,€,250000.0,€,250000.0,1.12,historical,1.12,250000.0,250000.0,3,9,1,consumer_staples
ParcelBox Platform,2021-08-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Internet of Things, Logistics, Mobile Apps",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-02-01,,1.0,,The platform manages authorized access to smart PostBoxes for parcels.,Internet of Things,ParcelBox Platform Internet of Things startup website,0.0,580.0,0.0,0.0,0,,,,,1.12,historical,1.12,,,3,6,1,industrials
NODE Robotics,2020-10-01,"Stuttgart, Baden-Wurttemberg,",Stuttgart,Baden-Wurttemberg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Autonomous Vehicles, Industrial Automation,,,,,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,11-50,2,,Seed,2022-02-01,,3.0,1.0,NODE provides the basis for the widespread use of autonomous mobile robots in production through plug&play software solutions.,Autonomous Vehicles,NODE Robotics Autonomous Vehicles startup website,0.0,0.0,6000.0,500.0,1,,,,,1.12,historical,1.12,,,4,16,2,consumer_discretionary
AVAILY,2021-10-01,"Duisburg, Nordrhein-Westfalen,",Duisburg,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Information Technology, PaaS,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€250,000",Seed,2022-02-01,"€200,000",3.0,,AVAILY is a sustainable platform that enables the realization of all New Work concepts.,Information Technology,AVAILY Information Technology startup website,0.0,0.0,261.0,161.0,0,€,250000.0,€,200000.0,1.12,historical,1.12,250000.0,200000.0,3,4,2,information_technology
spaciv,2020-01-01,"München, Bayern, Germany",München,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Cloud Infrastructure, Virtual Workforce",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Seed,2022-02-03,,1.0,,spaciv offers a cloud-based web-application for the dynamic optimizations of office workplace strategies.,Apps,spaciv Apps startup website,0.0,0.0,658.0,500.0,1,,,,,1.13,historical,1.13,,,5,25,2,information_technology
Codio Impact,2022-02-02,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"SaaS, Software, Sustainability",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-02-08,,3.0,,"Codio Impact automates the way companies collect, manage and report their Environmental, Social, Governance (ESG) data.",SaaS,Codio Impact SaaS startup website,9.0,0.0,1000.0,500.0,1,,,,,1.14,historical,1.14,,,2,0,1,information_technology
cofenster,2020-05-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Software, Video, Video on Demand",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€9,500,000",Series A,2022-02-10,"€8,000,000",3.0,1.0,cofenster is a video software company that enables to quickly and easily create videos in-house.,Software,cofenster Software startup website,0.0,530.0,3000.0,500.0,1,€,9500000.0,€,8000000.0,1.14,historical,1.14,9500000.0,8000000.0,4,21,3,information_technology
vamos!,2021-01-15,"Cologne, Nordrhein-Westfalen,",Cologne,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Mobile Apps,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-02-12,,1.0,3.0,vamos is a platform for spontaneous and friendly get-togethers among young people.,Mobile Apps,vamos! Mobile Apps startup website,0.0,0.0,0.0,0.0,0,,,,,1.14,historical,1.14,,,4,12,1,information_technology
Hyperaktiv.ai,2021-09-28,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Analytics, Big Data, Business Intelligence,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€550,000",Pre-Seed,2022-02-15,"€550,000",4.0,1.0,"Growth copilot for PLG SaaS - Segment, activate & convert your users",Analytics,Hyperaktiv.ai Analytics startup website,0.0,0.0,982.0,500.0,1,€,550000.0,€,550000.0,1.13,historical,1.13,550000.0,550000.0,3,4,1,information_technology
Alpakas,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"E-Commerce, Food and Beverage,,,,,,",Consumer Discretionary,0,0,0,0,0,1,0,0,0,0,0,0,0,101-250,1,"€5,000,000",Seed,2022-02-16,"€5,000,000",6.0,,Alpakas is a zero waste grocery delivery service.,E-Commerce,Alpakas E-Commerce startup website,0.0,0.0,4000.0,25.0,0,€,5000000.0,€,5000000.0,1.14,historical,1.14,5000000.0,5000000.0,4,13,2,consumer_discretionary
unea,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Enterprise Software, SaaS, Software",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"$2,300,000",Pre-Seed,2022-02-22,"$2,300,000",11.0,,"unea is a platform for business collaborations, bookings, and payments.",Enterprise Software,unea Enterprise Software startup website,4.0,0.0,2000.0,500.0,1,$,2300000.0,$,2300000.0,1.13,historical,1.13,2598999.9999999995,2598999.9999999995,4,13,1,information_technology
Fein,2020-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Casual Games, Developer Platform,",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,1-10,1,,Seed,2022-02-24,,1.0,1.0,Fein is a game-developing firm that offers casual games.,Casual Games,Fein Casual Games startup website,923.0,0.0,1000.0,500.0,1,,,,,1.13,historical,1.13,,,5,25,2,communication_services
Halbestunde,2020-04-01,"Alt Tellin, Mecklenburg-Vorpommern,",Alt Tellin,Mecklenburg-Vorpommern,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"EdTech, Music, Music Education",Communication Services,0,0,1,0,0,0,0,0,0,0,0,0,0,1-10,2,"€1,125,000",Pre-Seed,2022-02-25,"€600,000",,,Halbestunde develops music-education mobile applications.,EdTech,Halbestunde EdTech startup website,0.0,3818.0,247.0,500.0,1,€,1125000.0,€,600000.0,1.12,historical,1.12,1125000.0,600000.0,4,22,1,communication_services
DasLab,2020-09-20,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Health Care, Health Diagnostics,,,",Health Care,0,0,0,0,0,0,0,1,0,0,0,0,0,11-50,1,"€6,200,000",Seed,2022-02-28,"€6,200,000",4.0,2.0,"DasLab provides digital workflows for medical tests and vaccinations for patients, doctors, and laboratories.",Health Care,DasLab Health Care startup website,0.0,0.0,3000.0,500.0,1,€,6200000.0,€,6200000.0,1.12,historical,1.12,6200000.0,6200000.0,4,17,2,health_care
AIVITEX,2020-05-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Software,Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,2,,Pre-Seed,2022-03-01,,,,We enable frontline workers to replace on-site visits with a video-aided software and to combine it with typical workflows.,Software,AIVITEX Software startup website,2.0,3.0,1000.0,500.0,1,,,,,1.12,historical,1.12,,,4,21,1,information_technology
aboutuz,2020-01-01,"Feldkirchen, Bayern, Germany",Feldkirchen,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Lifestyle, Mobile, Social Media",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"$632,000",Seed,2022-03-01,"$632,000",1.0,,aboutuz is the first network for users to safely share personal details (zero-party data) with brands & people.,Apps,aboutuz Apps startup website,0.0,0.0,0.0,0.0,0,$,632000.0,$,632000.0,1.12,historical,1.12,707840.0000000001,707840.0000000001,5,25,2,information_technology
LucidWrite,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Marketing,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€110,000",Pre-Seed,2022-03-01,"€110,000",1.0,,LucidWrite writes unique content that content creators can adapt to match their brand voice & writing style.,AI,LucidWrite AI startup website,0.0,0.0,132000.0,500.0,1,€,110000.0,€,110000.0,1.12,historical,1.12,110000.0,110000.0,3,1,1,information_technology
saasmetrix,2021-09-02,"Bielefeld, Nordrhein-Westfalen,",Bielefeld,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"IT Management, Software",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,,Pre-Seed,2022-03-01,,,,"saasmetrix allows you to optimize your SaaS spending, accelerate your onboarding, and have all information you need just in one place!",IT Management,saasmetrix IT Management startup website,0.0,0.0,1000.0,500.0,1,,,,,1.12,historical,1.12,,,3,5,1,information_technology
Top.legal,2020-01-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B2B, Legal, Software",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,11-50,1,,Seed,2022-03-04,,,,Top.legal enables sales managers and legal counsel to track the duration of the contracting process.,B2B,Top.legal B2B startup website,0.0,0.0,3000.0,500.0,1,,,,,1.11,historical,1.11,,,5,26,2,industrials
Konvi,2020-06-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Asset Management, Crowdfunding,,,",Financials,0,0,0,0,1,0,0,0,0,0,0,0,0,1-10,3,"$900,000",Pre-Seed,2022-03-09,"$900,000",8.0,19.0,"Konvi app is the European crowdfunding platform enabling partial ownership into high-yielding, luxury assets.",Asset Management,Konvi Asset Management startup website,99.0,9874.0,3000.0,500.0,1,$,900000.0,$,900000.0,1.09,historical,1.09,981000.0,981000.0,4,21,1,financials
