Organization Name,Founded Date,Headquarters Location,Headquarters City,Headquarters State,baden_wuerttemberg,bayern,berlin,brandenburg,bremen,hamburg,hessen,mecklenburg_vorpommern,niedersachsen,nordrhein_westfalen,rheinland_pfalz,saarland,sachsen,sachsen_anhalt,schleswig_holstein,thueringen,Industries,industry,industrials,information_technology,communication_services,real_estate,financials,consumer_discretionary,web3_blockchain,health_care,materials,consumer_staples,other,utilities,energy,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,twitter,instagram,linkedin,ceo_connections,ceo_connections_dummy,Total Funding Currency,Total Funding Amount Clean,Last Funding Currency,Last Funding Amount Clean,fx,fx_source,fx_rate,total_funding,last_funding,age,funding_time_months,startup_stage,industry_clean,twitter_log,instagram_log,linkedin_log,ceo_connections_log,total_funding_log,articles_log,funding_time_months_log,age_log
OXOLO,2020-01-01,"Hamburg, Hamburg, Germany",Hamburg,Hamburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"AI, Gaming,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€13,000,000",Series A,2023-10-24,"€13,000,000",9.0,11.0,OXOLO provides a varied choice of AI characters to build product films that are highly appealing to clients.,AI,OXOLO AI startup website,0.0,0.0,4000.0,500.0,1,€,13000000.0,€,13000000.0,1.07,historical,1.07,13000000.0,13000000.0,5,45,3,information_technology,0.0,0.0,8.294299608857235,6.2166061010848646,16.380459992348886,2.4849066497880004,3.828641396489095,1.791759469228055
Empion,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Human Resources",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€8,400,000",Seed,2023-10-25,"€6,000,000",16.0,11.0,"Empion is the first automated headhunting system matching candidates and companies based on values, skills, and personality traits.",AI,Empion AI startup website,0.0,0.0,20000.0,500.0,1,€,8400000.0,€,6000000.0,1.06,historical,1.06,8400000.0,6000000.0,3,21,2,information_technology,0.0,0.0,9.90353755128617,6.2166061010848646,15.943742382861155,2.4849066497880004,3.091042453358316,1.3862943611198906
formbricks,2022-01-01,"Kiel, Schleswig-Holstein, Germany",Kiel,Schleswig-Holstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Embedded Software, Software,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,2,0.0,Pre-Seed,2023-11-01,0.0,3.0,3.0,Formbricks is a micro-survey solution that is open source.,Embedded Software,formbricks Embedded Software startup website,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.06,historical,1.06,0.0,0.0,3,21,1,information_technology,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,3.091042453358316,1.3862943611198906
One Coworking,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Apps, Coworking, Environmental Consulting",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,0.0,Pre-Seed,2023-11-01,0.0,1.0,0.0,One Coworking is an app that creates hybrid work environments.,Apps,One Coworking Apps startup website,702.0,0.0,2000.0,500.0,1,0.0,0.0,0.0,0.0,1.06,historical,1.06,0.0,0.0,3,21,1,information_technology,6.555356891810665,0.0,7.601402334583733,6.2166061010848646,0.0,0.0,3.091042453358316,1.3862943611198906
CONXAI,2020-02-01,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Computer Vision,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,2,"€4,700,000",Seed,2023-11-01,"€2,000,000",5.0,9.0,AI that understands construction,AI,CONXAI AI startup website,0.0,0.0,4000.0,500.0,1,€,4700000.0,€,2000000.0,1.06,historical,1.06,4700000.0,2000000.0,4,44,2,information_technology,0.0,0.0,8.294299608857235,6.2166061010848646,15.363073279446223,2.302585092994046,3.8066624897703196,1.6094379124341003
Matthias Anderer GmbH,2023-01-01,"Holzkirchen, Bayern, Germany",Holzkirchen,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Analytics, AI,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"$500,000",Pre-Seed,2023-11-02,"$500,000",0.0,0.0,"Matthias Anderer GmbH offers consulting services focused on AI, helping businesses develop functional data products and prototypes.",Analytics,Matthias Anderer GmbH Analytics startup website,0.0,0.0,500.0,500.0,1,$,500000.0,$,500000.0,1.06,historical,1.06,530000.0,530000.0,2,10,1,information_technology,0.0,0.0,6.2166061010848646,6.2166061010848646,13.180634172318978,0.0,2.3978952727983707,1.0986122886681098
Pointly,2021-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"3D Technology, Analytics, AI,,,,,,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,2,0.0,Pre-Seed,2023-11-02,0.0,0.0,0.0,Pointly is a 3D point cloud classification platform offering AI techniques and tailor-made 3D AI solutions.,3D Technology,Pointly 3D Technology startup website,52.0,0.0,2000.0,500.0,1,0.0,0.0,0.0,0.0,1.06,historical,1.06,0.0,0.0,4,34,1,information_technology,3.970291913552122,0.0,7.601402334583733,6.2166061010848646,0.0,0.0,3.5553480614894135,1.6094379124341003
irisnet AI,2021-01-01,"Düsseldorf, Nordrhein-Westfalen,",Düsseldorf,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"AI, Cloud Computing,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,3,0.0,Seed,2023-11-03,0.0,0.0,0.0,AI for image- and video-processing in real-time.,AI,irisnet AI AI startup website,0.0,0.0,128.0,204.0,0,0.0,0.0,0.0,0.0,1.06,historical,1.06,0.0,0.0,4,34,2,information_technology,0.0,0.0,4.859812404361672,5.3230099791384085,0.0,0.0,3.5553480614894135,1.6094379124341003
Seqstant,2021-01-01,"Teltow, Brandenburg, Germany",Teltow,Brandenburg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Information Technology, Software",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€1,800,000",Seed,2023-11-05,"€1,800,000",4.0,0.0,"Seqstant offers real-time pathogen analysis, allowing for sensitive, specific, and user-friendly real-time genetic diagnostics.",Information Technology,Seqstant Information Technology startup website,0.0,0.0,426.0,500.0,1,€,1800000.0,€,1800000.0,1.07,historical,1.07,1800000.0,1800000.0,4,34,2,information_technology,0.0,0.0,6.056784013228625,6.2166061010848646,14.403297778421795,0.0,3.5553480614894135,1.6094379124341003
deepeye,2021-10-04,"Munich, Bayern, Germany",Munich,Bayern,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Health Care,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,1,"€2,500,000",Seed,2023-11-07,"€2,500,000",4.0,1.0,Preventing blindness by improving retinal therapy with AI,AI,deepeye AI startup website,0.0,0.0,2000.0,500.0,1,€,2500000.0,€,2500000.0,1.07,historical,1.07,2500000.0,2500000.0,3,25,2,information_technology,0.0,0.0,7.601402334583733,6.2166061010848646,14.731801689838349,0.6931471805599453,3.258096538021482,1.3862943611198906
Langfuse,2022-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Developer Tools,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"$4,000,000",Seed,2023-11-07,"$4,000,000",3.0,1.0,Open source observability & analytics for LLM apps,AI,Langfuse AI startup website,0.0,0.0,4000.0,500.0,1,$,4000000.0,$,4000000.0,1.07,historical,1.07,4280000.0,4280000.0,3,22,2,information_technology,0.0,0.0,8.294299608857235,6.2166061010848646,15.269463801202813,0.6931471805599453,3.1354942159291497,1.3862943611198906
Prematch,2021-07-01,"Köln, Nordrhein-Westfalen, Germany",Köln,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Mobile, Natural Language Processing,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,11-50,4,"€4,100,000",Seed,2023-11-13,0.0,23.0,1.0,Prematch is building the #1 platform for grassroots football.,Mobile,Prematch Mobile startup website,0.0,0.0,6000.0,500.0,1,€,4100000.0,0.0,0.0,1.07,historical,1.07,4100000.0,0.0,3,28,2,information_technology,0.0,0.0,8.699681400989514,6.2166061010848646,15.226497775576945,0.6931471805599453,3.367295829986474,1.3862943611198906
BACE,2023-04-28,"Dortmund, Nordrhein-Westfalen,",Dortmund,Nordrhein-Westfalen,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Business Development, Hardware,,,,,,",Industrials,1,0,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€1,320,000",Seed,2023-11-15,"€1,320,000",4.0,0.0,"BACE's mission is to become a logistics service and provide expanded service interfaces for all retailers, locals, logistics & end users.",Business Development,BACE Business Development startup website,0.0,0.0,723.0,500.0,1,€,1320000.0,€,1320000.0,1.09,historical,1.09,1320000.0,1320000.0,1,6,2,industrials,0.0,0.0,6.584791392385716,6.2166061010848646,14.093143052138025,0.0,1.9459101490553132,0.6931471805599453
Scenarium AI,2023-01-01,"Berlin, Berlin, Germany",Berlin,Berlin,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AI, Information Technology,,",Information Technology,0,1,0,0,0,0,0,0,0,0,0,0,0,1-10,1,"€1,600,000",Pre-Seed,2023-11-16,"€1,600,000",2.0,0.0,"Scenarium AI is building the next generation of building design software, powered by AI.",AI,Scenarium AI AI startup website,0.0,1.0,914.0,500.0,1,€,1600000.0,€,1600000.0,1.09,historical,1.09,1600000.0,1600000.0,2,10,1,information_technology,0.0,0.6931471805599453,6.818924065275521,6.2166061010848646,14.285514812209815,0.0,2.3978952727983707,1.0986122886681098
